爱情	愛情	ai4qing2	àiqíng	(romantic) love
底	底	di3	dǐ	bottom; background; base
地点	地點	di4dian3	dìdiǎn	place; site; location
地球	地球	di4qiu2	dìqiú	the Earth; planet
地址	地址	di4zhi3	dìzhǐ	address
调查	調查	diao4cha2	diàochá	investigate; survey; inquiry
掉	掉	diao4	diào	to drop; to fall
丢	丟	diu1	diū	lose (something); throw; put aside
动作	動作	dong4zuo4	dòngzuò	movement; motion; action
堵车	堵車	du3che1	dǔchē	traffic jam
肚子	肚子	du4zi	dùzi	belly; abdomen; stomach
短信	短信	duan3xin4	duǎnxìn	text message; SMS
对话	對話	dui4hua4	duìhuà	dialogue; conversation
对面	對面	dui4mian4	duìmiàn	opposite; across from; the other side
对于	對于	dui4yu2	duìyú	regarding; as far as sth. is concerned; with regards to; for
儿童	兒童	er2tong2	értóng	child; children
而	而	er2	ér	and; but; yet; while (Kangxi radical 126)
发生	發生	fa1sheng1	fāshēng	happen; occur; take place
发展	發展	fa1zhan3	fāzhǎn	develop; development; growth
法律	法律	fa3lü4	fǎlǜ	law; statute
翻译	翻譯	fan1yi4	fānyì	translate; translation; interpret
烦恼	煩惱	fan2nao3	fánnǎo	worried; vexed
反对	反對	fan3dui4	fǎnduì	oppose; fight against
方法	方法	fang1fa3	fāngfǎ	method; way; means
方面	方面	fang1mian4	fāngmiàn	aspect; field; side
方向	方向	fang1xiang4	fāngxiàng	direction; orientation
房东	房東	fang2dong1	fángdōng	landlord
放弃	放棄	fang4qi4	fàngqì	abandon; renounce; give up
放暑假	放暑假	fang4 shu3jia4	fàng shǔjià	have summer vacation
放松	放松	fang4song1	fàngsōng	relax; loosen; slacken
份	份	fen4	fèn	part; portion; (mw for documents, papers, jobs, etc.)
丰富	豐富	feng1fu4	fēngfù	rich; enrich; abundant; plentiful
否则	否則	fou3ze2	fǒuzé	if not; otherwise; or else
符合	符合	fu2he2	fúhé	in keeping with; in accordance with; conform
父亲	父親	fu4qin	fùqin	father
付款	付款	fu4 kuan3	fù kuǎn	to pay
负责	負責	fu4ze2	fùzé	responsible for (something); in charge of
复印	複印	fu4yin4	fùyìn	photocopy; duplicate
复杂	複雜	fu4za2	fùzá	complicated; complex
富	富	fu4	fù	wealthy
改变	改變	gai3bian4	gǎibiàn	to change; alter; to transform
干杯	幹杯	gan1 bei1	gān bēi	to drink a toast; cheers!; bottoms up!
赶	趕	gan3	gǎn	catch up; overtake; drive away
敢	敢	gan3	gǎn	to dare
感动	感動	gan3dong4	gǎndòng	be moved; to touch emotionally
感觉	感覺	gan3jue2	gǎnjué	to feel; become aware of; feeling
感情	感情	gan3qing2	gǎnqíng	feeling; emotion; sensation
感谢	感謝	gan3xie4	gǎnxiè	thank; be grateful
干	幹	gan1	gān	to concern; shield; dry; clean (Kangxi radical 51)
刚	剛	gang1	gāng	just (indicating the immediate past); recently; firm
高速公路	高速公路	gao1su4 gong1lu4	gāosù gōnglù	highway
胳膊	胳膊	ge1bo	gēbo	arm
各	各	ge4	gè	each; every
工资	工資	gong1zi1	gōngzī	wages; pay; earnings; salary
公里	公裏	gong1li3	gōnglǐ	kilometer
功夫	功夫	gong1fu	gōngfu	kung fu; skill; art; labor
共同	共同	gong4tong2	gòngtóng	together; common; joint
购物	購物	gou4wu4	gòuwù	go shopping; buy goods
够	夠	gou4	gòu	enough; to reach
估计	估計	gu1ji4	gūjì	appraise; estimate
鼓励	鼓勵	gu3li4	gǔlì	encourage; inspire
故意	故意	gu4yi4	gùyì	deliberately; intentional; on purpose
顾客	顧客	gu4ke4	gùkè	customer; client
挂	挂	gua4	guà	hang; put up; suspend
关键	關鍵	guan1jian4	guānjiàn	crucial; key; pivotal
观众	觀衆	guan1zhong4	guānzhòng	spectator; audience
管理	管理	guan3li3	guǎnlǐ	supervise; manage
光	光	guang1	guāng	light; ray; bright; only; merely; used up
广播	廣播	guang3bo1	guǎngbō	broadcast; on the air
广告	廣告	guang3gao4	guǎnggào	advertisement; a commercial
逛	逛	guang4	guàng	to stroll; to visit; go window shopping
规定	規定	gui1ding4	guīdìng	regulation; stipulate; fix; set
国籍	國籍	guo2ji2	guójí	nationality
国际	國際	guo2ji4	guójì	international
果汁	果汁	guo3zhi1	guǒzhī	fruit juice
过程	過程	guo4cheng2	guòchéng	course of events; process
海洋	海洋	hai3yang2	hǎiyáng	ocean
害羞	害羞	hai4 xiu1	hài xiū	blush; shy
寒假	寒假	han2jia4	hánjià	winter vacation
汗	汗	han4	hàn	sweat; perspiration; Khan
航班	航班	hang2ban1	hángbān	scheduled flight; flight number
好处	好處	hao3chu	hǎochu	benefit; advantage
好像	好像	hao3xiang4	hǎoxiàng	as if; seem to be
号码	號碼	hao4ma3	hàomǎ	number
合格	合格	he2ge2	hégé	qualified; up to standard
合适	合適	he2shi4	héshì	suitable; proper; appropriate
盒子	盒子	he2zi	hézi	box
后悔	後悔	hou4hui3	hòuhuǐ	to regret; repent
厚	厚	hou4	hòu	thick (for flat things); generous
互联网	互聯網	Hu4lian2wang3	Hùliánwǎng	Internet
互相	互相	hu4xiang1	hùxiāng	mutually; with each other
护士	護士	hu4shi	hùshi	nurse
怀疑	懷疑	huai2yi2	huáiyí	doubt; to suspect; be skeptical
回忆	回憶	hui2yi4	huíyì	to recall; recollect
活动	活動	huo2dong4	huódòng	activity; exercise; move about
活泼	活潑	huo2po	huópo	lively; vivacious
火	火	huo3	huǒ	fire (Kangxi radical 86)
获得	獲得	huo4de2	huòdé	obtain; acquire; to gain
积极	積極	ji1ji2	jījí	active; positive; energetic
积累	積累	ji1lei3	jīlěi	accumulate; accumulation
基础	基礎	ji1chu3	jīchǔ	base; foundation
激动	激動	ji1dong4	jīdòng	excite; agitate
及时	及時	ji2shi2	jíshí	timely; in time; promptly; without delay
即使	即使	ji2shi3	jíshǐ	even if; even though
计划	計劃	ji4hua4	jìhuà	plan; project
记者	記者	ji4zhe3	jìzhě	reporter; journalist
技术	技術	ji4shu4	jìshù	technology; technique; skill
既然	既然	ji4ran2	jìrán	since; given that; now that
继续	繼續	ji4xu4	jìxù	to continue; to go on; to proceed
寄	寄	ji4	jì	send by mail
加班	加班	jia1 ban1	jiā bān	work overtime
加油站	加油站	jia1you2zhan4	jiāyóuzhàn	gas station
家具	家具	jia1ju4	jiājù	furniture
假	假	jia3, jia4	jiǎ, jià	fake; if; borrow | vacation; holiday
价格	價格	jia4ge2	jiàgé	price
坚持	堅持	jian1chi2	jiānchí	persist in; persevere
减肥	減肥	jian3fei2	jiǎnféi	go on a diet; lose weight
减少	減少	jian3shao3	jiǎnshǎo	reduce; to decrease
建议	建議	jian4yi4	jiànyì	to propose; to suggest; recommend
将来	將來	jiang1lai2	jiānglái	the future
奖金	獎金	jiang3jin1	jiǎngjīn	bonus
降低	降低	jiang4di1	jiàngdī	reduce; to lower; to drop
降落	降落	jiang4luo4	jiàngluò	descend; to land; put down
交	交	jiao1	jiāo	deliver; turn over; intersect; to pay (money); friendship
交流	交流	jiao1liu2	jiāoliú	communicate; exchange; give and take; interaction; to alternate
交通	交通	jiao1tong1	jiāotōng	traffic; transportation
郊区	郊區	jiao1qu1	jiāoqū	suburbs; outskirts
骄傲	驕傲	jiao1'ao4	jiāo'ào	proud; arrogant; conceited; take pride in
饺子	餃子	jiao3zi	jiǎozi	dumpling; potsticker
教授	教授	jiao4shou4	jiàoshòu	professor; instruct; to lecture
教育	教育	jiao4yu4	jiàoyù	education
接受	接受	jie1shou4	jiēshòu	accept; receive (honors, etc.)
接着	接著	jie1zhe	jiēzhe	continue; carry on; to catch; follow
节	節	jie2	jié	section; part; festival; moral integrity; save; (mw for class periods)
节约	節約	jie2yue1	jiéyuē	frugal; to save
结果	結果	jie2guo3	jiéguǒ	result; outcome; finally
解释	解釋	jie3shi4	jiěshì	to explain
尽管	盡管	jing3uan3	jǐnguǎn	despite; although; even though | freely; without hesitation
紧张	緊張	jin3zhang1	jǐnzhāng	nervous; tension; strain
进行	進行	jin4xing2	jìnxíng	carry on; carry out; undertake
禁止	禁止	jin4zhi3	jìnzhǐ	to ban; prohibit
京剧	京劇	jing1ju4	jīngjù	Beijing Opera
经济	經濟	jing1ji4	jīngjì	economy; economic
经历	經曆	jing1li4	jīnglì	undergo; to experience
经验	經驗	jing1yan4	jīngyàn	experience
精彩	精彩	jing1cai3	jīngcǎi	brilliant; spectacular; wonderful
景色	景色	jing3se4	jǐngsè	scenery; landscape; scene; view
警察	警察	jing3cha2	jǐngchá	police
竞争	競爭	jing4zheng1	jìngzhēng	compete
竟然	竟然	jing4ran2	jìngrán	unexpectedly; to one's surprise; go so far as to
镜子	鏡子	jing4zi	jìngzi	mirror
究竟	究竟	jiu1jing4	jiūjìng	after all; when all is said and done; actually
举	舉	ju3	jǔ	lift; raise; cite
举办	舉辦	ju3ban4	jǔbàn	to conduct; to hold
举行	舉行	ju3xing2	jǔxíng	convene; to hold (a meeting, ceremony, etc.)
拒绝	拒絕	ju4jue2	jùjué	to refuse; to decline; to reject
距离	距離	ju4li2	jùlí	distance; be apart; away from
聚会	聚會	ju4hui4	jùhuì	hold a meeting; get together; a party
开玩笑	開玩笑	kai1 wan2xiao4	kāi wánxiào	joke; play a joke; make fun of
开心	開心	kai1xin1	kāixīn	feel happy; have a great time; make fun of somebody
看法	看法	kan4fa3	kànfǎ	point of view; opinion
考虑	考慮	kao3lü4	kǎolǜ	think over; consider
烤鸭	烤鴨	kao3ya1	kǎoyā	roast duck
科学	科學	ke1xue2	kēxué	science; scientific knowledge
棵	棵	ke1	kē	(mw for plants)
咳嗽	咳嗽	ke2sou	késou	to cough
可怜	可憐	ke3lian2	kělián	pitiful; poor; pathetic
可是	可是	ke3shi4	kěshì	but; however
可惜	可惜	ke3xi1	kěxī	it's a pity; regrettable; too bad
客厅	客廳	ke4ting1	kètīng	living room; parlor
肯定	肯定	ken3ding4	kěndìng	sure; definite; affirm; approve
空	空	kong1, kong4	kōng, kòng	empty; sky | leave blank; leisure
空气	空氣	kong1qi4	kōngqì	air
恐怕	恐怕	kong3pa4	kǒngpà	be afraid; to fear; I'm afraid that...
苦	苦	ku3	kǔ	bitter; miserable
矿泉水	礦泉水	kuang4quan2shui3	kuàngquánshuǐ	mineral water
困	困	kun4	kùn	sleepy; surround; hard-pressed
困难	困難	kun4nan	kùnnan	difficulty; difficult; problem
垃圾桶	垃圾桶	la1ji1tong3	lājītǒng	garbage can
拉	拉	la1	lā	to pull; to play (string instruments); to drag
辣	辣	la4	là	hot (spicy)
来不及	來不及	lai2 bu ji2	lái bu jí	there's not enough time (to do something); it's too late
来得及	來得及	lai2 de ji2	lái de jí	there's still time
来自	來自	lai2zi4	láizì	come from (a place)
懒	懶	lan3	lǎn	lazy
浪费	浪費	lang4fei4	làngfèi	to waste; squander
浪漫	浪漫	lang4man4	làngmàn	romantic
老虎	老虎	lao3hu3	lǎohǔ	tiger
冷静	冷靜	leng3jing4	lěngjìng	calm; cool-headed; sober
礼拜天	禮拜天	li3bai4tian1	lǐbàitiān	Sunday
礼貌	禮貌	li3mao4	lǐmào	courtesy; politeness; manners
理发	理發	li3fa4	lǐfà	a barber, hairdressing; haircut
理解	理解	li3jie3	lǐjiě	comprehend; understand
理想	理想	li3xiang3	lǐxiǎng	ideal
力气	力氣	li4qi	lìqi	physical strength; effort
厉害	厲害	li4hai	lìhai	terrible; formidable; fierce; cool; awesome
例如	例如	li4ru2	lìrú	for example; for instance
俩	倆	liang3	liǎng	(colloquial) two (people)
连	連	lian2	lián	even; including; join
联系	聯系	lian2xi4	liánxì	integrate; link; connection; contact
凉快	涼快	liang2kuai	liángkuai	nice and cool; pleasantly cool
零钱	零錢	ling2qian2	língqián	small change (of money)
另外	另外	ling4wai4	lìngwài	another; in addition; besides
留	留	liu2	liú	to leave (behind, a message); to retain; to stay
流利	流利	liu2li4	liúlì	fluent
流行	流行	liu2xing2	liúxíng	spread; prevalent; be popular
旅行	旅行	lü3xing2	lǚxíng	travel
律师	律師	lü4shi1	lǜshī	lawyer
乱	亂	luan4	luàn	disorder; confusion; arbitrarily
麻烦	麻煩	ma2fan	máfan	trouble (someone); troubling; bothersome
马虎	馬虎	ma3hu	mǎhu	careless; sloppy; casual
满	滿	man3	mǎn	full; abbreviation for Manchurian
毛	毛	mao2	máo	hair; fur; feather; dime (Kangxi radical 82)
毛巾	毛巾	mao2jin1	máojīn	towel; washcloth
美丽	美麗	mei3li4	měilì	beautiful
梦	夢	meng4	mèng	to dream
迷路	迷路	mi2lu4	mílù	to get lost
密码	密碼	mi4ma3	mìmǎ	password; secret code
免费	免費	mian3 fei4	miǎn fèi	free (of charge); no cost
秒	秒	miao3	miǎo	second (unit of time or angle)
民族	民族	min2zu2	mínzú	nationality; ethnic group
母亲	母親	mu3qin	mǔqin	mother
目的	目的	mu4di4	mùdì	purpose; aim; goal
耐心	耐心	nai4xin1	nàixīn	to be patient
难道	難道	nan2dao4	nándào	could it be that ...?; don't tell me ...
难受	難受	nan2shou4	nánshòu	feel unwell; to suffer pain
内	內	nei4	nèi	inside; inner; internal; within
内容	內容	nei4rong2	nèiróng	content; substance; details
能力	能力	neng2li4	nénglì	capability; capable; ability
年龄	年齡	nian2ling2	niánlíng	(a person's) age
弄	弄	nong4	nòng	do; manage; to handle; make
暖和	暖和	nuan3huo	nuǎnhuo	warm; nice and warm
偶尔	偶爾	ou3'er3	ǒu'ěr	occasionally; once in a while; sometimes
排队	排隊	pai2 dui4	pái duì	queue; stand in line
排列	排列	pai2lie4	páiliè	arrange; align; permutation
判断	判斷	pan4duan4	pànduàn	to judge; judgment; to decide
陪	陪	pei2	péi	accompany; keep company
批评	批評	pi1ping2	pīpíng	criticize
皮肤	皮膚	pi2fu1	pífū	skin
脾气	脾氣	pi2qi	píqi	temperament; disposition; temper
篇	篇	pian1	piān	sheet; (mw for articles); piece of writing
骗	騙	pian4	piàn	to cheat; to swindle; deceive
乒乓球	乒乓球	ping1pang1qiu2	pīngpāngqiú	ping pong; table tennis
平时	平時	ping2shi2	píngshí	ordinarily; in normal times; in peacetime
破	破	po4	pò	broken; damaged; to split
葡萄	葡萄	pu2tao	pútao	grape
普遍	普遍	pu3bian4	pǔbiàn	common; universal; general; widespread
普通话	普通話	pu3tong1hua4	pǔtōnghuà	Mandarin (common language)
其次	其次	qi2ci4	qícì	next; secondly
其中	其中	qi2zhong1	qízhōng	among; in; included among these
气候	氣候	qi4hou4	qìhòu	climate; atmosphere; weather
千万	千萬	qian1wan4	qiānwàn	ten million; be sure to; must
签证	簽證	qian1zheng4	qiānzhèng	visa
敲	敲	qiao1	qiāo	knock; blackmail
桥	橋	qiao2	qiáo	bridge
巧克力	巧克力	qiao3ke4li4	qiǎokèlì	chocolate
亲戚	親戚	qin1qi	qīnqi	a relative (i.e. family relation)
轻	輕	qing1	qīng	light; easy; gentle; soft
轻松	輕松	qing1song1	qīngsōng	relaxed; gentle; easygoing
情况	情況	qing2kuang4	qíngkuàng	circumstance; state of affairs; situation
穷	窮	qiong2	qióng	poor; exhausted
区别	區別	qu1bie2	qūbié	difference; distinguish
取	取	qu3	qǔ	to take; get; choose
全部	全部	quan2bu4	quánbù	whole; entire; complete
缺点	缺點	que1dian3	quēdiǎn	weak point; defect; fault; shortcoming
缺少	缺少	que1shao3	quēshǎo	to lack; be short of; be deficient in
却	卻	que4	què	but; yet; however
确实	確實	que4shi2	quèshí	indeed; in truth; reliable
然而	然而	ran2'er2	rán'ér	however; yet; but
热闹	熱鬧	ren4ao	rènao	bustling; lively; busy
任何	任何	ren4he2	rènhé	any; whatever; whichever
任务	任務	ren4wu	rènwu	a mission; an assignment; a task
扔	扔	reng1	rēng	to throw; throw away
仍然	仍然	reng2ran2	réngrán	still; yet
日记	日記	ri4ji4	rìjì	diary
入口	入口	ru4kou3	rùkǒu	entrance
散步	散步	san4 bu4	sàn bù	to go for a walk
森林	森林	sen1lin2	sēnlín	forest
沙发	沙發	sha1fa1	shāfā	sofa
伤心	傷心	shang1xin1	shāngxīn	sad; grieve; brokenhearted
商量	商量	shang1liang	shāngliang	consult; talk over; discuss
稍微	稍微	shao1wei1	shāowēi	a little bit; slightly
勺子	勺子	shao2zi	sháozi	spoon; scoop; ladle
社会	社會	she4hui4	shèhuì	society
申请	申請	shen1qing3	shēnqǐng	apply for; application
深	深	shen1	shēn	deep; profound; dark (of colors)
甚至	甚至	shen4zhi4	shènzhì	even (to the point of); so much so that
生活	生活	sheng1huo2	shēnghuó	life; livelihood; to live
生命	生命	sheng1ming4	shēngmìng	life
生意	生意	sheng1yi	shēngyi	business; trade
省	省	sheng3	shěng	to save; economize; omit; province
剩	剩	sheng4	shèng	have as remainder; be left over; surplus
失败	失敗	shi1bai4	shībài	be defeated; fail; lose
失望	失望	shi1wang4	shīwàng	disappointed; lose hope
师傅	師傅	shi1fu	shīfu	master; qualified worker; teacher
十分	十分	shi2fen1	shífēn	very; fully; 100%
实际	實際	shi2ji4	shíjì	actual; reality; practice
实在	實在	shi2zai4	shízài	honest; in reality; honestly; indeed; certainly
使	使	shi3	shǐ	to use; to make; to cause; enable; envoy; messenger
使用	使用	shi3yong4	shǐyòng	to use; employ; apply; administer; manipulate
世纪	世紀	shi4ji4	shìjì	century
是否	是否	shi4fou3	shìfǒu	whether (or not); if
适合	適合	shi4he2	shìhé	to suit; to fit
适应	適應	shi4ying4	shìyìng	to suit; to fit; adapt
收	收	shou1	shōu	receive; accept; collect; to harvest
收入	收入	shou1ru4	shōurù	take in; income; revenue
收拾	收拾	shou1shi	shōushi	to tidy; put in order; to repair; to settle with; punish
首都	首都	shou3du1	shǒudū	capital (city)
首先	首先	shou3xian1	shǒuxiān	first (of all); in the first place; firstly
受不了	受不了	shou4 bu liao3	shòu bu liǎo	cannot endure; unbearable; can't stand
受到	受到	shou4dao4	shòudào	receive (influence, restriction, etc.); be subjected to
售货员	售貨員	shou4huo4yuan2	shòuhuòyuán	salesclerk; shop assistant
输	輸	shu1	shū	to transport; to lose (a game, etc.)
熟悉	熟悉	shu2xi1	shúxī	familiar with; know well
数量	數量	shu4liang4	shùliàng	amount; quantity; number
数字	數字	shu4zi4	shùzì	number; numeral; figure; digit
帅	帥	shuai4	shuài	handsome; graceful; commander-in-chief
顺便	順便	shun4bian4	shùnbiàn	conveniently; in passing; on the way
顺利	順利	shun4li4	shùnlì	go smoothly; without a hitch; successful
顺序	順序	shun4xu4	shùnxù	sequence; order
说明	說明	shuo1ming2	shuōmíng	explain; explanation; illustrate; to show
硕士	碩士	shuo4shi4	shuòshì	Master's degree (M.A.)
死	死	si3	sǐ	to die; dead; fixed; impassible; extremely
速度	速度	su4du4	sùdù	speed; rate; velocity
塑料袋	塑料袋	su4liao4dai4	sùliàodài	plastic bag
酸	酸	suan1	suān	sour; sore; ache
随便	隨便	sui2bian4	suíbiàn	as one pleases; informal; random; casual
随着	隨著	sui2zhe	suízhe	along with; in the wake of
孙子	孫子	sun1zi	sūnzi	grandson; son's son
所有	所有	suo3you3	suǒyǒu	all; to have; to possess
台	台	tai2	tái	platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters)
抬	擡	tai2	tái	to lift; to raise (with both palms up); carry (together)
态度	態度	tai4du	tàidu	manner; bearing; attitude
谈	談	tan2	tán	to talk; to chat; discuss
弹钢琴	彈鋼琴	tan2 gang1qin2	tán gāngqín	play the piano
汤	湯	tang1	tāng	soup; broth
糖	糖	tang2	táng	sugar; candy; sweets
躺	躺	tang3	tǎng	recline; lie down (on back or side)
趟	趟	tang4, tang1	tàng, tāng	(mw for trips times) | to wade
讨论	討論	tao3lun4	tǎolùn	to discuss; discussion; to talk over
讨厌	討厭	tao3yan4	tǎoyàn	to hate; loathe; disgusting; troublesome
特点	特點	te4dian3	tèdiǎn	a characteristic; trait; feature
提	提	ti2	tí	to carry; to lift; to raise (an issue)
提供	提供	ti2gong1	tígōng	to supply; provide; furnish
提前	提前	ti2qian2	tíqián	shift to an earlier date; bring forward; to advance
提醒	提醒	ti2xing3	tíxǐng	remind; call attention to; warn of
填空	填空	tian2kong4	tiánkòng	fill in the blanks; fill a vacancy
条件	條件	tiao2jian4	tiáojiàn	condition; circumstances; prerequisite
停	停	ting2	tíng	to stop; to halt; to park (a car)
挺	挺	ting3	tǐng	straighten up; stick out; rather (good); very
通过	通過	tong1guo4	tōngguò	by means of; through (a method); pass through; via
通知	通知	tong1zhi1	tōngzhī	notify; to inform; notice
同情	同情	tong2qing2	tóngqíng	compassion; sympathy
同时	同時	tong2shi2	tóngshí	at the same time; simultaneously
推	推	tui1	tuī	to push; to scrape; to decline; postpone; elect
推迟	推遲	tui1chi2	tuīchí	postpone; defer
脱	脫	tuo1	tuō	to shed; take off; to escape
袜子	襪子	wa4zi	wàzi	socks; stockings
完全	完全	wan2quan2	wánquán	complete; whole; totally
网球	網球	wang3qiu2	wǎngqiú	tennis; tennis ball
网站	網站	wang3zhan4	wǎngzhàn	website
往往	往往	wang3wang3	wǎngwǎng	often; frequently; more often than not
危险	危險	wei1xian3	wēixiǎn	danger; dangerous; perilous
卫生间	衛生間	wei4sheng1jian1	wèishēngjiān	restroom; bathroom; water closet (WC)
味道	味道	wei4dao	wèidao	flavor; taste
温度	溫度	wen1du4	wēndù	temperature
文章	文章	wen2zhang1	wénzhāng	article; essay
污染	汙染	wu1ran3	wūrǎn	pollution; contamination
无	無	wu2	wú	have not; without; not (Kangxi radical 71)
无聊	無聊	wu2liao2	wúliáo	nonsense; bored; silly; stupid
无论	無論	wu2lun4	wúlùn	no matter what; regardless of whether...
误会	誤會	wu4hui4	wùhuì	to misunderstand; to mistake
西红柿	西紅柿	xi1hong2shi4	xīhóngshì	tomato
吸引	吸引	xi1yin3	xīyǐn	attract (interest, investment, etc.)
咸	鹹	xian2	xián	salty; salted; all
现金	現金	xian4jin1	xiànjīn	cash
羡慕	羨慕	xian4mu4	xiànmù	to envy; admire
相反	相反	xiang1fan3	xiāngfǎn	opposite; contrary
相同	相同	xiang1tong2	xiāngtóng	identical; same; alike
香	香	xiang1	xiāng	fragrant; savory (Kangxi radical 186)
详细	詳細	xiang2xi4	xiángxì	detailed; in detail; minute
响	響	xiang3	xiǎng	make a sound; to ring; echo
橡皮	橡皮	xiang4pi2	xiàngpí	rubber; an eraser
消息	消息	xiao1xi	xiāoxi	news; information
小吃	小吃	xiao3chi1	xiǎochī	snack; refreshments
小伙子	小夥子	xiao3huo3zi	xiǎohuǒzi	young man; lad; youngster
小说	小說	xiao3shuo1	xiǎoshuō	novel; fiction
笑话	笑話	xiao4hua	xiàohua	joke; laugh at
